Symbol,Name,Address,Sector,Industry,Full Time Employees,Description,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level,Group
CSX,Csx Corp,"500 Water Street
15th Floor
Jacksonville, FL 32202
United States
904 359 3200
https://www.csx.com",Industrials,Railroads,22700,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services. The company offers rail services; and transportation of intermodal containers and trailers, as well as other transportation services, such as rail-to-truck transfers and bulk commodity operations. It transports chemicals, agricultural and food products, minerals, automotive, forest products, fertilizers, and metals and equipment; and coal, coke, and iron ore to electricity-generating power plants, steel manufacturers, and industrial plants, as well as exports coal to deep-water port facilities. The company also offers intermodal transportation services through a network of approximately 30 terminals transporting manufactured consumer goods in containers; and drayage services, including the pickup and delivery of intermodal shipments. It serves the automotive industry with distribution centers and storage locations, as well as connects non-rail served customers through transferring products, such as plastics and ethanol from rail to trucks. The company operates approximately 20,000 route mile rail network, which serves various population centers in 26 states east of the Mississippi River, the District of Columbia, and the Canadian provinces of Ontario and Quebec, as well as owns and leases approximately 3,600 locomotives. It also serves production and distribution facilities through track connections. CSX Corporation was incorporated in 1978 and is headquartered in Jacksonville, Florida.",20.0,7.4,3.4,9.2,Significant,3.0,26th percentile,Medium,Traditional
CTAS,Cintas Corp,"6800 Cintas Boulevard
PO Box 625737
Cincinnati, OH 45262-5737
United States
513 459 1200
https://www.cintas.com",Industrials,Specialty Business Services,44500,"Cintas Corporation provides corporate identity uniforms and related business services primarily in the United States, Canada, and Latin America. It operates through Uniform Rental and Facility Services, First Aid and Safety Services, and All Other segments. The company rents and services uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items; and provides restroom cleaning services and supplies, as well as sells uniforms. In addition, the company offers first aid and safety services, and fire protection products and services. It provides its products and services through its distribution network and local delivery routes, or local representatives to small service and manufacturing companies, as well as major corporations. Cintas Corporation was founded in 1968 and is based in Cincinnati, Ohio.",18.0,3.0,6.0,9.0,Moderate,2.0,20th percentile,Negligible,ESG
CTRA,Coterra Energy Inc,"Three Memorial City Plaza
Suite 1400 840 Gessner Road
Houston, TX 77024
United States
281 589 4600
https://www.coterra.com",Energy,Oil & Gas E&P,981,"Coterra Energy Inc., an independent oil and gas company, engages in the development, exploration and production of oil, natural gas, and natural gas liquids in the United States. The company primarily focuses on the Marcellus Shale with approximately 183,000 net acres in the dry gas window of the play located in Susquehanna County, Pennsylvania. It also holds Permian Basin properties with approximately 307,000 net acres; and Anadarko Basin properties with approximately 182,000 net acres located in Oklahoma. In addition, the company operates natural gas and saltwater disposal gathering systems in Texas. It sells its natural gas to industrial customers, local distribution companies, oil and gas marketers, major energy companies, pipeline companies, and power generation facilities. The company was incorporated in 1989 and is headquartered in Houston, Texas.",46.0,24.1,8.8,13.1,Moderate,2.0,96th percentile,Severe,Traditional
CTSH,Cognizant Tech Solutions A,"300 Frank West Burr Boulevard
Teaneck, NJ 07666
United States
201 801 0233
https://www.cognizant.com",Technology,Information Technology Services,345600,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally. It operates through four segments: Financial Services; Health Sciences; Products and Resources; and Communications, Media and Technology. The company offers customer experience enhancement, robotic process automation, analytics, and AI services in areas, such as digital lending, fraud detection, and next generation payments; the shift towards consumerism, outcome-based contracting, digital health, delivering integrated seamless, omni-channel, and patient-centered experience; and services that drive operational improvements in areas, such as clinical development, pharmacovigilance, and manufacturing, as well as claims processing, enrollment, membership, and billing to healthcare providers and payers, and life sciences companies, including pharmaceutical, biotech, and medical device companies. It also provides solution to manufacturers, automakers, retailers and travel and hospitality companies, as well as companies providing logistics, energy and utility services; and digital content, the creation of personalized user experience, and acceleration of digital engineering services to communications, media and entertainment, education, and information services and technology companies. The company has a strategic partnership with ServiceNow, Inc. to accelerate adoption of AI-driven automation across industries. The company was founded in 1994 and is headquartered in Teaneck, New Jersey.",14.0,1.1,5.6,7.6,Moderate,2.0,9th percentile,Low,ESG
CVS,Cvs Health Corp,"One CVS Drive
Woonsocket, RI 02895
United States
401 765 1500
https://www.cvshealth.com",Healthcare,Healthcare Plans,219000,"CVS Health Corporation provides health services in the United States. It operates through Health Care Benefits, Pharmacy Services, and Retail/LTC segments. The Health Care Benefits segment offers traditional, voluntary, and consumer-directed health insurance products and related services. It serves employer groups, individuals, college students, part-time and hourly workers, health plans, health care providers, governmental units, government-sponsored plans, labor groups, and expatriates. The Pharmacy Services segment offers pharmacy benefit management solutions, including plan design and administration, formulary management, retail pharmacy network management, mail order pharmacy, specialty pharmacy and infusion, clinical, and disease and medical spend management services. It serves employers, insurance companies, unions, government employee groups, health plans, prescription drug plans, Medicaid managed care plans, plans offered on public health insurance and private health insurance exchanges, other sponsors of health benefit plans, and individuals. This segment operates retail specialty pharmacy stores; and specialty mail-order, mail-order dispensing, and compounding pharmacies, as well as branches for infusion and enteral nutrition services. The Retail/LTC segment sells prescription and over-the-counter drugs, consumer health and beauty products, and personal care products; and provides health care services through its MinuteClinic walk-in medical clinics. This segment also distributes prescription drugs; and provides related pharmacy consulting and other ancillary services to care facilities and other care settings. The company was formerly known as CVS Caremark Corporation and changed its name to CVS Health Corporation in September 2014. CVS Health Corporation was incorporated in 1996 and is headquartered in Woonsocket, Rhode Island.",23.0,0.0,6.4,16.4,Significant,3.0,36th percentile,Medium,Traditional
CVX,Chevron Corp,"6001 Bollinger Canyon Road
San Ramon, CA 94583-2324
United States
925 842 1000
https://www.chevron.com",Energy,Oil & Gas Integrated,43846,"Chevron Corporation, through its subsidiaries, engages in the integrated energy and chemicals operations in the United States and internationally. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, production, and transportation of crude oil and natural gas; liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and processing, transportation, storage, and marketing of natural gas, as well as a gas-to-liquids plant. The Downstream segment refines crude oil into petroleum products; markets crude oil, refined products, and lubricants; manufactures and markets renewable fuels; transports crude oil and refined products by pipeline, marine vessel, motor equipment, and rail car; and manufactures and markets commodity petrochemicals, plastics for industrial uses, and fuel and lubricant additives. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is headquartered in San Ramon, California.",38.0,18.6,10.3,8.7,Significant,3.0,85th percentile,High,Traditional
D,Dominion Energy Inc,"120 Tredegar Street
Richmond, VA 23219
United States
804 819 2284
https://www.dominionenergy.com",Utilities,Utilities—Regulated Electric,17200,"Dominion Energy, Inc. produces and distributes energy in the United States. It operates through four segments: Dominion Energy Virginia, Gas Distribution, Dominion Energy South Carolina, and Contracted Assets. The Dominion Energy Virginia segment generates, transmits, and distributes regulated electricity to approximately 2.7 million residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Gas Distribution segment is involved in the regulated natural gas sales, transportation, gathering, storage, and distribution operations in Ohio, North Carolina, Utah, southwestern Wyoming, and southeastern Idaho that serve approximately 3.0 million residential, commercial and industrial customers. It also has nonregulated renewable natural gas facilities in operation. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity to approximately 782,000 customers in the central, southern, and southwestern portions of South Carolina; and distributes natural gas to approximately 435,000 residential, commercial, and industrial customers in South Carolina. The Contracted Assets segment is involved in the nonregulated long-term contracted renewable electric generation and solar generation facility development operations; and gas transportation, LNG import, and storage operations, as well as in the liquefaction facility. As of December 31, 2022, the company's portfolio of assets included approximately 31.0 gigawatt of electric generating capacity; 10,600 miles of electric transmission lines; 78,500 miles of electric distribution lines; and 93,500 miles of gas distribution mains and related service facilities. The company was formerly known as Dominion Resources, Inc. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.",25.0,11.1,5.7,8.6,Moderate,2.0,45th percentile,Medium,Traditional
DD,Dupont De Nemours Inc,"Building 730
974 Centre Road
Wilmington, DE 19805
United States
302 774 3034
https://www.dupont.com",Basic Materials,Specialty Chemicals,23000,"DuPont de Nemours, Inc. provides technology-based materials and solutions in the United States, Canada, the Asia Pacific, Latin America, Europe, the Middle East, and Africa. It operates through Electronics & Industrial, Water & Protection, and Corporate & Other segments. The Electronics & Industrial segment supplies materials and solutions for the fabrication of semiconductors and integrated circuits addressing various steps of the manufacturing process. This segment also provides semiconductor and advanced packaging materials; dielectric and metallization solutions for chip packaging; and silicones for light emitting diode packaging and semiconductor applications; permanent and process chemistries for the fabrication of printed circuit boards to include laminates and substrates, and electroless and electrolytic metallization solutions, as well as patterning solutions, and materials and metallization processes for metal finishing, decorative, and industrial applications. In addition, it offers various materials to manufacture rigid and flexible displays for organic light emitting diode, and other display applications, as well as provides high performance parts, and specialty silicone elastomers, and lubricants to automotive, aerospace, electronics, industrial, and healthcare markets. The Water & Protection segment provides engineered products and integrated systems for worker safety, water purification and separation, transportation, energy, medical packaging and building materials. The Corporate & Other segment offers auto adhesives and fluids; Multibase; and Tedlar products. The company was formerly known as DowDuPont Inc. and changed its name to DuPont de Nemours, Inc. in June 2019. DuPont de Nemours, Inc. was incorporated in 2015 and is headquartered in Wilmington, Delaware.",29.0,13.4,7.4,8.1,Significant,3.0,59th percentile,Medium,Traditional
DE,Deere & Co,"One John Deere Place
Moline, IL 61265
United States
309 765 4491
https://www.deere.com",Industrials,Farm & Heavy Construction Machinery,82200,"Deere & Company manufactures and distributes various equipment worldwide. The company operates through four segments: Production and Precision Agriculture, Small Agriculture and Turf, Construction and Forestry, and Financial Services. The Production and Precision Agriculture segment provides mid-size tractors, combines, cotton pickers and strippers, sugarcane harvesters, harvesting front-end equipment, sugarcane loaders, pull-behind scrapers, and tillage and seeding equipment, as well as application equipment, including sprayers and nutrient management, and soil preparation machinery for grain growers. The Small Agriculture and Turf segment offers utility tractors, and related loaders and attachments; turf and utility equipment, including riding lawn equipment, commercial mowing equipment, golf course equipment, and utility vehicles, as well as implements for mowing, tilling, snow and debris handling, aerating, residential, commercial, golf, and sports turf care applications; other outdoor power products; and hay and forage equipment. This segment also resells products from other manufacturers. It serves dairy and livestock producers, crop producers, and turf and utility customers. The Construction and Forestry segment provides a range of backhoe loaders, crawler dozers and loaders, four-wheel-drive loaders, excavators, motor graders, articulated dump trucks, landscape and skid-steer loaders, milling machines, pavers, compactors, rollers, crushers, screens, asphalt plants, log skidders, log feller bunchers, log loaders and forwarders, log harvesters, and attachments; and roadbuilding equipment. The Financial Services segment finances sales and leases agriculture and turf, and construction and forestry equipment. It also offers wholesale financing to dealers of the foregoing equipment; and extended equipment warranties, as well as finances retail revolving charge accounts. Deere & Company was founded in 1837 and is headquartered in Moline, Illinois.",17.0,3.2,6.6,6.9,Moderate,2.0,15th percentile,Low,ESG
DG,Dollar General Corp,"100 Mission Ridge
Goodlettsville, TN 37072
United States
615 855 4000
https://www.dollargeneral.com",Consumer Defensive,Discount Stores,170000,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, midwestern, and eastern United States. It offers consumable products, including paper and cleaning products, such as paper towels, bath tissues, paper dinnerware, trash and storage bags, disinfectants, and laundry products; packaged food comprising cereals, pasta, canned soups, fruits and vegetables, condiments, spices, sugar, and flour; and perishables that include milk, eggs, bread, refrigerated and frozen food, beer, and wine. The company's consumable products also comprise snacks, such as candies, cookies, crackers, salty snacks, and carbonated beverages; health and beauty products, including over-the-counter medicines and personal care products, such as soaps, body washes, shampoos, cosmetics, and dental hygiene and foot care products; pet supplies and pet food; and tobacco products. In addition, it offers seasonal products comprising holiday items, toys, batteries, small electronics, greeting cards, stationery, prepaid phones and accessories, gardening supplies, hardware, and automotive and home office supplies; and home products that include kitchen supplies, cookware, small appliances, light bulbs, storage containers, frames, candles, craft supplies and kitchen, and bed and bath soft goods. Further, the company provides apparel, which comprise casual everyday apparel for infants, toddlers, girls, boys, women, and men, as well as socks, underwear, disposable diapers, shoes, and accessories. The company was formerly known as J.L. Turner & Son, Inc. and changed its name to Dollar General Corporation in 1968. Dollar General Corporation was founded in 1939 and is based in Goodlettsville, Tennessee.",17.0,3.3,5.5,8.6,Moderate,2.0,17th percentile,Low,ESG
DGX,Quest Diagnostics Inc,"500 Plaza Drive
Secaucus, NJ 07094
United States
973 520 2700
https://www.questdiagnostics.com",Healthcare,Diagnostics & Research,40000,"Quest Diagnostics Incorporated provides diagnostic testing, information, and services in the United States and internationally. The company develops and delivers diagnostic information services, such as routine testing, non-routine and advanced clinical testing, anatomic pathology testing, and other diagnostic information services. It offers diagnostic information services primarily under the Quest Diagnostics brand, as well as under the AmeriPath, Dermpath Diagnostics, ExamOne, and Quanum brands to patients, clinicians, hospitals, independent delivery networks, health plans, employers, direct contract entities, and accountable care organizations through a network of laboratories, patient service centers, phlebotomists in physician offices, call centers and mobile paramedics, nurses, and other health and wellness professionals. The company also provides risk assessment services for the life insurance industry; and healthcare organizations and clinicians robust information technology solutions. Quest Diagnostics Incorporated was founded in 1967 and is headquartered in Secaucus, New Jersey.",21.0,0.1,8.2,12.7,Significant,3.0,29th percentile,Medium,Traditional
DHI,Dr Horton Inc,"1341 Horton Circle
Arlington, TX 76011
United States
817 390 8200
https://www.drhorton.com",Consumer Cyclical,Residential Construction,13237,"D.R. Horton, Inc. operates as a homebuilding company in East, North, Southeast, South Central, Southwest, and Northwest regions in the United States. It engages in the acquisition and development of land; and construction and sale of residential homes in 106 markets across 33 states under the names of D.R. Horton, America's Builder, Express Homes, Emerald Homes, and Freedom Homes. The company constructs and sells single-family detached homes; and attached homes, such as town homes, duplexes, and triplexes. It also provides mortgage financing services; and title insurance policies, and examination and closing services, as well as engages in the residential lot development business. In addition, the company develops, constructs, owns, leases, and sells multi-family and single-family rental properties; owns non-residential real estate, including ranch land and improvements; and owns and operates energy related assets. It primarily serves homebuyers. D.R. Horton, Inc. was founded in 1978 and is headquartered in Arlington, Texas.",22.0,9.4,5.7,6.7,Moderate,2.0,32nd percentile,Medium,Traditional
DHR,Danaher Corp,"2200 Pennsylvania Avenue, North West
Suite 800 West
Washington, DC 20037-1701
United States
202 828 0850
https://www.danaher.com",Healthcare,Diagnostics & Research,79000,"Danaher Corporation designs, manufactures, and markets professional, medical, industrial, and commercial products and services worldwide. The Biotechnology segments offers bioprocess technologies, consumables, and services; lab filtration, separation, and purification; lab-scale protein purification and analytical tools; reagents, membranes and services; and healthcare filtration solutions. The Life Sciences segment provides mass spectrometers; flow cytometry, genomics, lab automation, centrifugation, particle counting and characterization; microscopes; genomics consumables; and Gene and Cell Therapy to the pharmaceutical and biopharmaceutical, food and beverage, medical, and life sciences companies, as well as universities, medical schools and research institutions, and various industrial manufacturers. The Diagnostics segment provides chemistry, immunoassay, microbiology, and automation systems, as well as hematology, molecular, acute care, and pathology diagnostics products. This segment offers clinical instruments, reagents, consumables, software, and services for hospitals, physicians' offices, reference laboratories, and other critical care settings. The Environmental & Applied Solutions segment offers instrumentation, consumables, software, services, and disinfection systems to analyze, treat, and manage ultra-pure, potable, industrial, waste, ground, source, and ocean water in residential, commercial, municipal, industrial, and natural resource applications. It also provides instruments, software, services, and consumables for various color and appearance management, packaging design and quality management, packaging converting, printing, marking, coding, and traceability applications for consumer, pharmaceutical, and industrial products. The company was formerly known as Diversified Mortgage Investors, Inc. and changed its name to Danaher Corporation in 1984. The company was founded in 1969 and is headquartered in Washington, the District of Columbia.",12.0,1.4,5.2,5.2,Moderate,2.0,4th percentile,Low,ESG
DIS,Walt Disney Co,"500 South Buena Vista Street
Burbank, CA 91521
United States
818 560 1000
https://www.thewaltdisneycompany.com",Communication Services,Entertainment,171600,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. It operates through two segments, Disney Media and Entertainment Distribution; and Disney Parks, Experiences and Products. The company engages in the film and episodic television content production and distribution activities, as well as operates television networks under the ABC, Disney, ESPN, Freeform, FX, Fox, National Geographic, and Star brands; and studios that produces films under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, and Searchlight Pictures banners. It also offers direct-to-consumer streaming services through Disney+, Disney+ Hotstar, ESPN+, Hulu, and Star+; sale/licensing of film and television content to third-party television and subscription video-on-demand services; theatrical, home entertainment, and music distribution services; staging and licensing of live entertainment events; and post-production services by Industrial Light & Magic and Skywalker Sound. In addition, the company operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney, as well as Aulani, a Disney resort and spa in Hawaii. Further, it licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort; provides consumer products, including licensing of trade names, characters, visual, literary, and other IP for use on merchandise, published materials, and games; operates a direct-to-home satellite distribution platform; sells branded merchandise through retail, online, and wholesale businesses; and develops and publishes books, comic books, and magazines. The Walt Disney Company was founded in 1923 and is based in Burbank, California.",15.0,0.1,6.9,7.9,Moderate,2.0,10th percentile,Low,ESG
DLR,Digital Realty Trust Inc,"5707 Southwest Parkway, Building 1
Suite 275
Austin, TX 78735-6213
United States
737 281 0101
https://www.digitalrealty.com",Real Estate,REIT—Specialty,3412,"Digital Realty brings companies and data together by delivering the full spectrum of data center, colocation, and interconnection solutions. PlatformDIGITAL, the company's global data center platform, provides customers with a secure data ""meeting place"" and a proven Pervasive Datacenter Architecture (PDx) solution methodology for powering innovation and efficiently managing Data Gravity challenges. Digital Realty gives its customers access to the connected communities that matter to them with a global data center footprint of 300+ facilities in 50+ metros across 27 countries on six continents.",13.0,2.8,7.0,2.8,,0.0,6th percentile,Low,ESG
DLTR,Dollar Tree Inc,"500 Volvo Parkway
Chesapeake, VA 23320
United States
757 321 5000
https://www.dollartree.com",Consumer Defensive,Discount Stores,65025,"Dollar Tree, Inc. operates discount variety retail stores. The company operates in two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $ 1.25. It provides consumable merchandise, which includes everyday consumables, such as household paper and chemicals, food, candy, health, personal care products, and frozen and refrigerated food; variety merchandise comprising toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, arts and crafts supplies, and other items; and seasonal goods that include Christmas, Easter, Halloween, and Valentine's Day merchandise. It operates stores under the Dollar Tree and Dollar Tree Canada brands, as well as distribution centers in the United States and Canada. The Family Dollar segment operates general merchandise retail discount stores that offer consumable merchandise, which comprise food and beverages, tobacco, health and personal care, household chemicals, paper products, hardware and automotive supplies, diapers, batteries, and pet food and supplies; and home products, including housewares, home décor, and giftware, as well as domestics, such as comforters, sheets, and towels. It also provides apparel and accessories merchandise comprising clothing, fashion accessories, and shoes; and seasonal and electronics merchandise that include Christmas, Easter, Halloween, and Valentine's Day merchandise, as well as personal electronics, which comprise pre-paid cellular phones and services, stationery and school supplies, and toys. The company was founded in 1986 and is based in Chesapeake, Virginia.",15.0,3.4,4.1,7.4,Moderate,2.0,10th percentile,Low,ESG
DOV,Dover Corp,"3005 Highland Parkway
Downers Grove, IL 60515
United States
630 541 1540
https://www.dovercorporation.com",Industrials,Specialty Industrial Machinery,25000,"Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide. The company's Engineered Products segment provides various equipment, component, software, solution, and services that are used in aftermarket vehicle service, solid waste handling, industrial automation, aerospace and defense, industrial winch and hoist, and fluid dispensing end-market. This segment also offers manual and power clamp, rotary and linear mechanical indexer, conveyor, pick and place unit, glove port, and manipulator, as well as end-of-arm robotic gripper, slide, and end effector. Its Clean Energy & Fueling segment offers component, equipment, and software and service solution enabling safe transport of traditional and clean fuel, and other hazardous substance along with supply chain, as well as operation of convenience retail, retail fueling, and vehicle wash establishment. The company's Imaging & Identification segment provides precision marking and coding; packaging intelligence; product traceability equipment; brand protection; and digital textile printing equipment, as well as related consumable, software, and service to packaged and consumer good, pharmaceutical, industrial manufacturing, fashion and apparel, and other end-market. Its Pumps & Process Solutions segment manufactures specialty pump, connector, and flow meter, fluid connecting solution, plastics and polymer processing equipment, and engineered components for rotating and reciprocating machines. The company's Climate & Sustainability Technologies segment manufactures refrigeration system, refrigeration display case, commercial glass refrigerator and freezer door, and brazed plate heat exchanger for industrial heating and cooling, and residential climate control applications. It sells its products directly and through a network of distributors. The company was incorporated in 1947 and is headquartered in Downers Grove, Illinois.",25.0,7.1,5.8,12.4,Low,1.0,46th percentile,Medium,Traditional
DPZ,Domino S Pizza Inc,"30 Frank Lloyd Wright Drive
Ann Arbor, MI 48105
United States
734 930 3030
https://www.ir.dominos.com",Consumer Cyclical,Restaurants,6500,"Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",31.0,7.7,6.6,16.7,Moderate,2.0,69th percentile,High,Traditional
DRI,Darden Restaurants Inc,"1000 Darden Center Drive
Orlando, FL 32837
United States
407 245 4000
https://www.darden.com",Consumer Cyclical,Restaurants,187384,"Darden Restaurants, Inc., through its subsidiaries, owns and operates full-service restaurants in the United States and Canada. It operates under Olive Garden, LongHorn Steakhouse, Cheddar's Scratch Kitchen, Yard House, The Capital Grille, Seasons 52, Bahama Breeze, Eddie V's Prime Seafood, and Capital Burger brands. Darden Restaurants, Inc. was founded in 1968 and is based in Orlando, Florida.",28.0,8.4,4.6,15.0,Moderate,2.0,57th percentile,Medium,Traditional
DTE,Dte Energy Company,"One Energy Plaza
Detroit, MI 48226-1279
United States
313 235 4000
https://www.dteenergy.com",Utilities,Utilities—Regulated Electric,10102,"DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.3 million residential, commercial, and industrial customers in southeastern Michigan. It generates electricity through fossil-fuel, hydroelectric pumped storage, and nuclear plants, as well as wind and solar assets. This segment owns and operates approximately 697 distribution substations and approximately 451,900 line transformers. The company's Gas segment purchases, stores, transports, distributes, and sells natural gas to approximately 1.3 million residential, commercial, and industrial customers throughout Michigan; and sells storage and transportation capacity. This segment has approximately 21,000 miles of distribution mains; 1,352,000 service pipelines; and 1,316,000 active meters, as well as owns approximately 2,000 miles of transmission pipelines. Its DTE Vantage segment offers metallurgical and petroleum coke to steel and other industries; and power, steam and chilled water production, and wastewater treatment services, as well as supplies compressed air to industrial customers. Its Energy Trading segment engages in power, natural gas, and environmental marketing and trading; structured transactions; and the optimization of contracted natural gas pipeline transportation and storage positions. The company was founded in 1903 and is based in Detroit, Michigan.",30.0,15.0,5.0,10.0,Moderate,2.0,66th percentile,Severe,Traditional
DUK,Duke Energy Corp,"526 South Church Street
Charlotte, NC 28202-1803
United States
704 382 3853
https://www.duke-energy.com",Utilities,Utilities—Regulated Electric,27859,"Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States. It operates through two segments, Electric Utilities and Infrastructure (EU&I) and Gas Utilities and Infrastructure (GU&I). The EU&I segment generates, transmits, distributes, and sells electricity in the Carolinas, Florida, and the Midwest; and uses coal, hydroelectric, natural gas, oil, solar and wind sources, renewables, and nuclear fuel to generate electricity. This segment also engages in the wholesale of electricity to municipalities, electric cooperative utilities, and load-serving entities. The GU&I segment distributes natural gas to residential, commercial, industrial, and power generation natural gas customers; and invests in pipeline transmission projects, renewable natural gas projects, and natural gas storage facilities. The company was formerly known as Duke Energy Holding Corp. and changed its name to Duke Energy Corporation in April 2006. The company was founded in 1904 and is headquartered in Charlotte, North Carolina.",28.0,14.5,4.6,8.6,Moderate,2.0,54th percentile,Medium,Traditional
DVN,Devon Energy Corp,"333 West Sheridan Avenue
Oklahoma City, OK 73102-5015
United States
405 235 3611
https://www.devonenergy.com",Energy,Oil & Gas E&P,1800,"Devon Energy Corporation, an independent energy company, explores for, develops, and produces oil, natural gas, and natural gas liquids in the United States. It operates in Delaware, Anadarko, Williston, Eagle Ford, and Powder River Basin. The company was incorporated in 1971 and is headquartered in Oklahoma City, Oklahoma.",37.0,20.7,7.8,8.1,Moderate,2.0,85th percentile,High,Traditional
DXC,Dxc Technology Co,"20408 Bashan Drive
Suite 231
Ashburn, VA 20147
United States
703 245 9700
https://www.dxc.technology",Technology,Information Technology Services,130000,"DXC Technology Company, together with its subsidiaries, provides information technology services and solutions primarily in the United States, the United Kingdom, rest of Europe, Australia, and internationally. It operates in two segments, Global Business Services (GBS) and Global Infrastructure Services (GIS). The GBS segment offers a portfolio of analytics services and extensive partner ecosystem that help its customers to gain rapid insights, automate operations, and accelerate their transformation journeys; and software engineering, consulting, and data analytics solutions that enable businesses to run and manage their mission-critical functions, transform their operations, and develop new ways of doing business. It also simplifies, modernize, and accelerate mission-critical applications that support business agility and growth through applications services. In addition, this segment provides proprietary modular insurance software and platforms; and operates spectrum of insurance business process services, as well as operates bank cards, payment and lending process, and customer experiences. The GIS segment provides security services, such as IT security, operations and culture for the cloud, protecting data with a zero-trust strategy, and manage a security operation center; and cloud infrastructure and IT outsourcing services. It also delivers a consumer-like experience, centralize IT management, and support services, as well as improve the total cost of ownership. In addition, it markets and sells its products through direct sales force to commercial businesses and public sector enterprises. DXC Technology Company was founded in 1959 and is headquartered in Ashburn, Virginia.",16.0,1.0,5.0,10.0,Moderate,2.0,13th percentile,Negligible,ESG
EA,Electronic Arts Inc,"209 Redwood Shores Parkway
Redwood City, CA 94065
United States
650 628 1500
https://ea.com",Communication Services,Electronic Gaming & Multimedia,13400,"Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide. It develops and publishes games and services across various genres, such as sports, racing, first-person shooter, action, role-playing, and simulation primarily under the Battlefield, The Sims, Apex Legends, Need for Speed, and license games from others, including FIFA, Madden NFL, UFC, and Star Wars brands. The company licenses its games to third parties to distribute and host its games. It markets and sells its games and services through digital distribution and retail channels, as well as directly to mass market retailers, specialty stores, and distribution arrangements. Electronic Arts Inc. was incorporated in 1982 and is headquartered in Redwood City, California.",10.0,0.1,4.7,5.5,Moderate,2.0,3rd percentile,Low,ESG
EBAY,Ebay Inc,"2025 Hamilton Avenue
San Jose, CA 95125
United States
408 376 7108
https://www.ebayinc.com",Consumer Cyclical,Internet Retail,11600,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",17.0,1.0,7.0,9.0,Moderate,2.0,16th percentile,Negligible,ESG
ED,Consolidated Edison Inc,"4 Irving Place
New York, NY 10003
United States
212 460 4600
https://www.conedison.com",Utilities,Utilities—Regulated Electric,14319,"Consolidated Edison, Inc., through its subsidiaries, engages in the regulated electric, gas, and steam delivery businesses in the United States. It offers electric services to approximately 3.6 million customers in New York City and Westchester County; gas to approximately 1.1 million customers in Manhattan, the Bronx, parts of Queens, and Westchester County; and steam to approximately 1,530 customers in parts of Manhattan. The company also supplies electricity to approximately 0.3 million customers in southeastern New York and northern New Jersey; and gas to approximately 0.1 million customers in southeastern New York. In addition, it operates 543 circuit miles of transmission lines; 15 transmission substations; 63 distribution substations; 87,951 in-service line transformers; 3,869 pole miles of overhead distribution lines; and 2,320 miles of underground distribution lines, as well as 4,359 miles of mains and 377,741 service lines for natural gas distribution. Further, the company owns, develops, and operates renewable and energy infrastructure projects; and provides energy-related products and services to wholesale and retail customers, as well as invests in electric and gas transmission projects. It primarily sells electricity to industrial, commercial, residential, and government customers. Consolidated Edison, Inc. was founded in 1823 and is based in New York, New York.",23.0,7.5,6.3,9.3,Significant,3.0,37th percentile,Medium,Traditional
